date,distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Avg Pace,Elev Gain,Avg Stride Length,Gain per KM,Hour,Month,Day,expected_HR,performance_rated
2020-10-18 10:32:31,10.01,664,10:32,143,155,161,11.726384364820849,23,1.21,2.2977022977022976,10,10,18,152.2501954397394,better
2020-10-15 12:50:25,6.01,451,12:50,148,173,144,11.285266457680251,6,1.31,0.9983361064891847,12,10,15,149.6387774294671,better
2020-10-13 14:30:06,13.03,921,14:30,150,168,160,11.881188118811881,22,1.24,1.688411358403684,14,10,13,153.16663366336633,better
2020-10-09 10:41:39,11.01,810,10:41,143,170,154,10.714285714285715,201,1.16,18.256130790190735,10,10,9,146.25857142857143,better
2020-10-05 12:14:21,10.45,817,12:14,137,153,153,8.551068883610451,181,0.93,17.320574162679428,12,10,5,133.45232779097387,worse
2020-09-30 14:39:53,13.01,1076,14:39,163,190,162,11.960132890365449,228,1.22,17.5249807840123,14,9,30,153.63398671096346,worse
2020-09-29 13:23:38,10.01,809,13:23,155,179,156,11.688311688311687,193,1.25,19.280719280719282,13,9,29,152.0248051948052,worse
2020-09-27 11:38:33,11.01,700,11:38,137,161,159,10.778443113772456,16,1.12,1.4532243415077202,11,9,27,146.63838323353292,better
2020-09-25 16:41:01,16.58,1154,16:41,146,176,161,11.042944785276074,37,1.14,2.2316043425814236,16,9,25,148.20423312883435,better
2020-09-24 09:09:12,6.04,391,09:09,158,178,155,13.636363636363635,2,1.46,0.33112582781456956,9,9,24,163.55727272727273,better
2020-09-22 09:06:14,3.44,385,09:06,144,156,147,6.870229007633588,4,0.78,1.1627906976744187,9,9,22,123.50175572519083,worse
2020-09-21 10:48:02,12.01,946,10:48,148,164,152,10.169491525423728,18,1.12,1.4987510407993339,10,9,21,143.03338983050847,worse
2020-09-20 08:23:11,13.02,885,08:23,146,158,158,11.35646687697161,55,1.2,4.224270353302612,8,9,20,150.06028391167195,better
2020-09-19 12:01:00,5.0,317,12:01,171,183,170,14.693877551020408,2,1.48,0.4,12,9,19,169.81775510204082,worse
2020-09-18 16:21:49,5.5,382,16:21,139,150,153,10.682492581602373,8,1.16,1.4545454545454546,16,9,18,146.07035608308604,better
2020-09-16 14:43:05,6.85,482,14:43,163,184,138,12.857142857142856,--,1.57,0.0,14,9,16,158.94428571428568,worse
2020-09-15 12:40:37,3.53,290,12:40,148,155,153,10.027855153203342,11,1.09,3.11614730878187,12,9,15,142.19490250696379,worse
2020-09-15 11:53:05,3.64,239,11:53,139,151,158,11.842105263157896,4,1.25,1.0989010989010988,11,9,15,152.93526315789472,better
2020-09-09 17:57:36,5.87,406,17:57,168,180,162,14.0625,11,1.45,1.8739352640545144,17,9,9,166.07999999999998,worse
2020-09-07 12:49:03,13.02,1003,12:49,160,181,158,12.040133779264213,146,1.27,11.213517665130569,12,9,7,154.10759197324415,worse
2020-09-06 20:46:38,4.92,330,20:46,150,185,133,12.286689419795223,33,1.5,6.7073170731707314,20,9,6,155.5672013651877,better
2020-09-04 18:26:39,4.84,345,18:26,139,155,153,10.588235294117647,45,1.15,9.297520661157025,18,9,4,145.51235294117646,better
2020-09-02 12:54:46,3.43,283,12:54,142,169,120,9.137055837563452,147,1.31,42.857142857142854,12,9,2,136.92137055837563,worse
2020-09-01 12:40:00,5.61,389,12:40,160,184,160,13.48314606741573,54,1.41,9.62566844919786,12,9,1,162.65022471910112,better
2020-08-30 10:48:32,5.9,350,10:48,140,166,130,11.764705882352942,34,1.48,5.762711864406779,10,8,30,152.47705882352943,better
2020-08-29 12:24:41,12.5,924,12:24,165,184,163,12.857142857142856,122,1.31,9.76,12,8,29,158.94428571428568,worse
2020-08-27 12:04:55,4.5,302,12:04,122,138,150,8.910891089108912,8,0.99,1.7777777777777777,12,8,27,135.58247524752477,better
2020-08-26 11:25:24,9.26,778,11:25,137,165,134,7.6109936575052854,250,0.93,26.997840172786177,11,8,26,127.88708245243129,worse
2020-08-25 15:35:53,5.6,404,15:35,163,180,164,13.432835820895521,2,1.37,0.35714285714285715,15,8,25,162.35238805970147,worse
2020-08-18 09:26:13,4.85,336,09:26,139,169,153,11.11111111111111,8,1.19,1.6494845360824744,9,8,18,148.60777777777776,better
2020-08-13 14:10:41,6.5,402,14:10,126,141,153,10.027855153203342,7,1.09,1.0769230769230769,14,8,13,142.19490250696379,better
2020-08-10 18:17:39,5.79,382,18:17,149,178,136,11.538461538461538,--,1.34,0.0,18,8,10,151.1376923076923,better
2020-08-10 18:00:40,2.03,140,18:00,117,131,153,8.219178082191782,4,0.9,1.9704433497536948,18,8,10,131.48753424657534,better
2020-08-09 17:42:34,10.03,675,17:42,157,181,164,13.23529411764706,13,1.34,1.296111665004985,17,8,9,161.1829411764706,better
2020-08-08 09:40:25,5.0,326,09:40,119,131,157,8.551068883610451,2,0.91,0.4,9,8,8,133.45232779097387,better
2020-08-06 17:09:47,21.02,1490,17:09,155,177,161,12.040133779264213,58,1.24,2.759276879162702,17,8,6,154.10759197324415,worse
2020-08-05 12:28:59,2.0,140,12:28,169,180,169,13.953488372093023,10,1.37,5.0,12,8,5,165.43465116279071,worse
2020-08-05 12:13:49,3.01,197,12:13,168,181,170,14.754098360655739,2,1.45,0.6644518272425249,12,8,5,170.17426229508197,better
2020-08-02 18:06:19,9.99,676,18:06,163,184,165,13.740458015267176,11,1.38,1.1011011011011012,18,8,2,164.17351145038168,better
2020-07-29 17:56:35,10.0,731,17:56,165,184,164,12.949640287769785,179,1.32,17.9,17,7,29,159.4918705035971,worse
2020-07-27 12:29:16,10.0,741,12:29,165,181,163,12.811387900355871,179,1.31,17.9,12,7,27,158.67341637010674,worse
2020-07-24 10:10:22,13.0,1017,10:10,168,183,162,12.413793103448276,221,1.27,17.0,10,7,24,156.31965517241377,worse
2020-07-22 12:53:16,10.0,772,12:53,161,181,161,12.121212121212121,163,1.25,16.3,12,7,22,154.58757575757573,worse
